interaction_id,user_id,track_id,rating,timestamp
310199041,248989733,702891265,2,2021-01-15 15:09:50
884123455,248989733,506969726,2,2021-01-10 13:47:03
904373484,248989733,589060170,2,2021-01-15 06:42:49
774660064,248989733,291547843,2,2021-01-13 07:04:45
468120756,248989733,795397147,2,2021-01-12 23:01:56
829763359,852025845,22008776,3,2021-01-17 05:57:57
801678074,852025845,151661972,3,2021-01-12 04:35:08
236373292,852025845,11621051,3,2021-01-16 21:30:56
229184284,852025845,584317209,3,2021-01-14 21:52:51
327557757,852025845,488313139,3,2021-01-14 13:50:02
408768346,370288948,202401330,3,2021-01-17 19:24:07
583388669,370288948,915140061,3,2021-01-12 18:01:25
157844906,370288948,624902530,3,2021-01-17 10:57:06
412687442,370288948,143128233,3,2021-01-15 11:19:05
453503653,370288948,169805380,3,2021-01-15 03:16:16
96274573,762713512,892934855,4,2021-01-15 15:50:23
72943915,762713512,823677954,4,2021-01-10 14:27:17
1976717,762713512,478881828,4,2021-01-15 07:23:21
306658987,762713512,169805380,4,2021-01-13 07:45:10
410003045,762713512,933856081,4,2021-01-12 23:42:20
219292916,647592843,535760980,2,2021-01-16 04:26:31
217450820,647592843,59253271,2,2021-01-11 03:03:32
321315411,647592843,478881828,2,2021-01-15 19:59:29
288826219,647592843,772867196,2,2021-01-13 20:21:20
804542358,647592843,10607524,2,2021-01-13 12:18:31
834490663,972627830,933856081,2,2021-01-16 16:06:36
770604310,972627830,913243706,2,2021-01-11 14:43:37
285960197,972627830,702891265,2,2021-01-16 07:39:34
872006764,972627830,635510070,2,2021-01-14 08:01:25
273380755,972627830,574152686,2,2021-01-13 23:58:36
73981136,960934298,588130503,1,2021-01-17 11:48:54
104022206,960934298,285658201,1,2021-01-12 10:25:53
25999849,960934298,856360944,1,2021-01-17 03:21:52
931983573,960934298,724472605,1,2021-01-15 03:43:42
712806991,960934298,551077774,1,2021-01-14 19:40:53
797504927,801763107,580692154,2,2021-01-16 08:25:04
563230198,801763107,966552945,2,2021-01-11 07:01:58
620455829,801763107,336612074,2,2021-01-15 23:58:01
145223000,801763107,791188369,2,2021-01-14 00:19:50
323873135,801763107,64423587,2,2021-01-13 16:17:00
766398880,859003679,741801679,4,2021-01-17 14:22:45
695943668,859003679,281653309,4,2021-01-12 12:59:54
425098042,859003679,22008776,4,2021-01-17 05:55:43
289389363,859003679,134948115,4,2021-01-15 06:17:38
964060186,859003679,633147050,4,2021-01-14 22:14:49
541819300,494291592,919589204,1,2021-01-18 13:26:41
984607948,494291592,257880417,1,2021-01-13 12:03:55
429915923,494291592,44648271,1,2021-01-18 04:59:40
213273732,494291592,134948115,1,2021-01-16 05:21:37
824631629,494291592,44648271,1,2021-01-15 21:18:48
285417698,442814905,281653309,5,2021-01-16 18:06:08
662782118,442814905,933856081,5,2021-01-11 16:43:27
138093544,442814905,724472605,5,2021-01-16 09:39:07
245637900,442814905,470442755,5,2021-01-14 10:01:06
829745376,442814905,258678794,5,2021-01-14 01:58:18
856592745,561957724,603159446,3,2021-01-17 17:42:10
235117203,561957724,59253271,3,2021-01-12 16:19:12
191604706,561957724,471223408,3,2021-01-17 09:15:08
962223837,561957724,966552945,3,2021-01-15 09:37:00
570910528,561957724,470442755,3,2021-01-15 01:34:10
785331172,35441131,318314413,4,2021-01-15 00:57:58
443646177,35441131,855531772,4,2021-01-09 23:35:01
